,BXM Level (Volatility),Credit Spread Investment Grade,HML,Last_Price (High Yield Credit Spread),Liquidity,Mkt-RF,Momentum,SMB,index
0,0.744933883736623,0.9811456534311146,-1.0686287658744766,-1.587155826171847,1.6734099482061107,-0.6015286465448728,-1.3134684275617865,-1.1689927579480701,Equity_russel_3000
1,0.5786941972993715,1.109615209068657,-0.6121873095185123,-2.138255510829494,2.12377865527749,-0.7479900179777701,-1.5797550163562575,-1.4833819696827055,Equity_global_MSCI_ACWI
2,0.9591175428249182,0.24751060289953922,0.3134404834444594,1.1428249303586298,-1.468607173999492,0.7743579761199416,1.132345182430282,0.4639521416036665,Bond_US_Barclay_ETF
3,0.18721904603533512,0.1787710599949722,0.27782495197850904,0.3754301898433043,-1.011422891666367,1.182202064561862,1.019974868200676,0.15959828695676123,Bond_US_Barclay_TIPS
4,0.9174943122724492,2.6070554143129834,-1.1683573245588477,-2.798262066249671,3.1091551388081258,-2.132765157319642,0.6355162572604183,-1.6172956771401483,Bond_US_HighYield_bond_Index
5,0.6302983048241478,-0.04942014441128423,1.5422453420402906,-0.5136671250543363,1.3978813163831236,-0.0548535265092486,-1.0715404718201138,0.21250126380359807,IYR
6,0.85691453211388,2.314467352467668,-0.36736554761331325,-3.0937536017839813,1.7002359434474597,-0.6117845204347593,-0.25601048851427965,-0.5566171275842053,FOF_Fund of Fund
7,0.2849112500207909,-1.1095424798032776,0.2733681490019135,-0.04056008157683266,-2.4872924290125193,-0.9703420128575736,0.4481704891127802,0.41902482295202775,PE
8,0.6948677860166252,0.6775925759139666,-1.1151471697484157,-1.277959722161639,1.7863146865998913,-0.5862882368961205,-1.3379268374901576,-1.110087571182463,Equity_russel_3000
9,0.5181576915456726,0.7659267814862122,-0.6600657508672468,-1.7806810138414237,2.289550954701192,-0.7031802527311751,-1.5972637950770043,-1.4154605955519581,Equity_global_MSCI_ACWI
10,0.9907971870878391,0.5910441730517977,0.3753567775583643,0.8173584066311806,-1.5110268581763724,0.8175027204508186,1.185820267059164,0.40886390528387917,Bond_US_Barclay_ETF
11,0.2096380579558686,0.504179765731295,0.35005647806280343,0.09384436337100914,-0.9734292587970117,1.2800531644592061,1.1018269371607574,0.12081199223132601,Bond_US_Barclay_TIPS
12,0.8924730653225735,2.4098890617189945,-1.2099468565628204,-2.584491409327834,2.966954789644313,-2.1744522315109607,0.5831581511466838,-1.5812711786081493,Bond_US_HighYield_bond_Index
13,0.6894201941187158,-0.0015356106474169351,1.5089021083211538,-0.6279571908532549,0.9469253427938087,-0.30602615090460145,-1.2107775311645197,0.161698613916987,IYR
14,0.7781602147083152,1.7531449769849359,-0.46313771465818965,-2.5324421393957106,1.747269024972656,-0.6981313621984042,-0.3550848582565491,-0.46885268969684335,FOF_Fund of Fund
15,0.38067000309817844,-0.590400717487426,0.3419816824641096,-0.5657959706864314,-2.7987769474367554,-1.0501055183884875,0.4628168713354144,0.3150705713881387,PE
16,0.0962059587468863,0.3707982231354052,-0.6657021762633791,-1.4888901385078068,2.1196053585446277,-0.7341477488549912,-1.9390047113116091,-1.0229554429673837,Equity_russel_3000
17,0.09484086606485545,0.454645708895354,-0.29194282944576905,-1.8503002871618601,2.535586996414743,-0.7192049939651733,-1.95025940210154,-1.2884677396706101,Equity_global_MSCI_ACWI
18,0.988864539166062,0.5088978286170678,0.38181046009759473,0.9330597148562209,-1.4822832876515393,0.929913119885767,1.2180330595293671,0.474600612141945,Bond_US_Barclay_ETF
19,0.3984358037055406,0.47438941651480016,0.2461299420825561,0.26679383175741006,-1.0039654619171197,1.4666539410830706,1.3031162883217104,0.17227859378078159,Bond_US_Barclay_TIPS
20,0.723364818752271,2.2107489389459287,-1.019833643610404,-2.5293637758425986,3.0525216361987266,-2.110447749425757,0.48342225861846333,-1.461797988824741,Bond_US_HighYield_bond_Index
21,0.6073661185149442,0.2714985141103188,1.3676268925182202,-0.9053828520761169,0.849730122214351,-0.5769403600137234,-1.2937207247296207,-0.031947784109009746,IYR
22,0.16748790788939028,1.3083407485117708,0.09324273839305786,-2.6541003941482586,2.14007358972269,-0.6842555938434202,-0.882365766073783,-0.20881666431948118,FOF_Fund of Fund
23,0.25532078449731765,-0.5879496733191601,0.39551393371932003,-0.6638892251211779,-2.765192535665018,-1.1526408607084364,0.3222058550586668,0.2966202179299631,PE
24,0.25764696159169087,0.41516206507701064,-0.4581187680206473,-1.4718387699944548,1.8750279278309785,-0.7951992083405423,-2.0909844025269444,-0.8823059785176769,Equity_russel_3000
25,0.38364328098653433,0.436255327854983,-0.034435662494012295,-1.7270563963984504,2.2255275935134264,-0.8152521770310748,-2.2584995367889307,-1.097752885142253,Equity_global_MSCI_ACWI
26,0.9310463008680566,0.6883989231489084,0.5128266806193655,0.7551893880594754,-1.549296325588924,0.8971010608092299,1.1527646195974497,0.5331468804875312,Bond_US_Barclay_ETF
27,0.35990871653419376,0.5175642949501498,0.24662760484413526,0.21995845856450363,-0.9767222849751663,1.4654408636676928,1.2830810189708985,0.1676398750211899,Bond_US_Barclay_TIPS
28,0.5732186207579846,2.305147188090093,-1.0525522369332658,-2.691858727144834,3.0341888631164227,-2.069385533090537,0.6182271191721024,-1.4977634143638594,Bond_US_HighYield_bond_Index
29,0.6200964770630165,0.36022520836402266,1.4366737143067545,-0.9821509582383195,0.7246053478370782,-0.5962588748805155,-1.2948281729332909,0.029387907221416605,IYR
30,0.6377455326817275,1.1939942181922272,0.4110683683510033,-2.355041612574377,1.7532559934709306,-0.8212806389597958,-1.4230804491153737,0.049643776680574375,FOF_Fund of Fund
