type,Equity_russel_3000,Equity_global_MSCI_ACWI,Bond_US_Barclay_ETF,Bond_US_Barclay_TIPS,Bond_US_HighYield_bond_Index,IYR,FOF_Fund of Fund,PE
trading,0.0005,0.001,0.0015,0,0.003,0.004,0.01,0.01
holding,0.0,0.001,0.0005,0,0.0015,0.0025,0.0,0.0
