Date,Open,High,Low,Close,Volume,Adj Close
2017-03-07,39.880001,39.939999,39.82,39.860001,4300,39.860001
2017-03-06,39.799999,39.799999,39.799999,39.799999,100,39.799999
2017-03-03,39.779999,39.849998,39.779999,39.849998,1800,39.849998
2017-03-02,39.990002,39.990002,39.990002,39.990002,100,39.990002
2017-03-01,39.990002,40.009998,39.939999,39.990002,2300,39.990002
2017-02-28,39.619999,39.669998,39.57,39.619999,1200,39.619999
2017-02-27,39.849998,39.849998,39.849998,39.849998,100,39.849998
2017-02-24,40.029999,40.029999,39.849998,39.849998,500,39.849998
2017-02-23,40.369999,40.419998,40.369999,40.369999,1200,40.369999
2017-02-22,40.279999,40.279999,40.279999,40.279999,200,40.279999
2017-02-21,40.669998,40.669998,40.669998,40.669998,100,40.669998
2017-02-17,40.669998,40.669998,40.669998,40.669998,100,40.669998
2017-02-16,40.610001,40.669998,40.610001,40.669998,300,40.669998
2017-02-15,40.419998,40.419998,40.419998,40.419998,100,40.419998
2017-02-14,40.450001,40.450001,40.450001,40.450001,200,40.450001
2017-02-13,40.150002,40.41,40.150002,40.41,1300,40.41
2017-02-10,39.799999,40.169998,39.799999,40.16,1200,40.16
2017-02-09,39.860001,39.860001,39.860001,39.860001,100,39.860001
2017-02-08,39.869999,39.869999,39.860001,39.860001,400,39.860001
2017-02-07,39.740002,39.919998,39.740002,39.860001,4800,39.860001
2017-02-06,39.939999,39.939999,39.709999,39.849998,3600,39.849998
2017-02-03,39.790001,39.790001,39.790001,39.790001,400,39.790001
2017-02-02,39.720001,39.720001,39.639999,39.639999,700,39.639999
2017-02-01,39.57,39.799999,39.57,39.799999,1500,39.799999
2017-01-31,39.73,40.09,39.419998,39.509998,6700,39.509998
2017-01-30,39.799999,39.799999,39.360001,39.41,2700,39.41
2017-01-27,39.709999,39.709999,39.689999,39.689999,400,39.689999
2017-01-26,39.73,39.77,39.73,39.77,1000,39.77
2017-01-25,39.779999,39.779999,39.779999,39.779999,200,39.779999
2017-01-24,39.380001,39.41,39.380001,39.41,200,39.41
2017-01-23,39.400002,39.529999,39.369999,39.529999,700,39.529999
2017-01-20,39.279999,39.310001,39.279999,39.310001,500,39.310001
2017-01-19,39.09,39.09,39.09,39.09,300,39.09
2017-01-18,39.23,39.23,39.099998,39.130001,3200,39.130001
2017-01-17,39.59,39.59,39.490002,39.490002,800,39.490002
2017-01-13,39.299999,39.50,39.299999,39.470001,2300,39.470001
2017-01-12,39.419998,39.419998,39.419998,39.419998,100,39.419998
2017-01-11,38.98,39.419998,38.959999,39.419998,1400,39.419998
2017-01-10,39.360001,39.360001,39.110001,39.169998,1400,39.169998
2017-01-09,39.439999,39.439999,39.23,39.369999,2100,39.369999
2017-01-06,39.669998,39.669998,39.470001,39.490002,1500,39.490002
2017-01-05,39.68,39.740002,39.68,39.740002,400,39.740002
2017-01-04,39.220001,39.450001,39.220001,39.450001,2100,39.450001
2017-01-03,39.419998,39.419998,38.98,39.029999,3300,39.029999
2016-12-30,38.98,39.049999,38.98,39.009998,1400,39.009998
2016-12-29,38.650002,38.830002,38.650002,38.830002,13700,38.830002
2016-12-28,38.43,38.439999,38.43,38.439999,300,38.439999
2016-12-27,38.689999,38.73,38.59,38.59,1800,38.59
